model,draw,method,n_per_type,top_share,top_type,deepest_type,rho_depth_share,share_pDC,argmax_agree_all,argmax_agree_informative
proximal,6,raw_mean,112,0.2768856615554444,pDC,pDC,0.8333333333333335,0.2768856615554444,0.31233221476510065,0.5799701046337817
proximal,6,zscale_mean,112,0.29849768011452815,pDC,pDC,0.8333333333333335,0.29849768011452815,0.3124161073825503,0.5799701046337817
proximal,6,lognorm_mean,112,0.18157200269072218,pDC,pDC,0.6190476190476191,0.18157200269072218,0.31610738255033555,0.6068759342301944
proximal,6,pseudobulk_cpm,112,0.17810511064732568,B,pDC,0.3333333333333334,0.14759301102161201,0.3092281879194631,0.585949177877429
proximal,6,depth_matched,112,0.23117788088379876,B,pDC,0.6904761904761906,0.15725201372958242,0.3169463087248322,0.6038863976083707
proximal,6,cpm_mean,112,0.1844007106266278,B,pDC,0.7142857142857144,0.15640685099263502,0.2897651006711409,0.5590433482810164
proximal,6,archr_style,112,0.18157200269072218,pDC,pDC,0.6190476190476191,0.18157200269072218,0.31610738255033555,0.6068759342301944
proximal,7,raw_mean,112,0.2596546906531901,pDC,pDC,0.9523809523809524,0.2596546906531901,0.31845637583892616,0.6113602391629297
proximal,7,zscale_mean,112,0.28233609879779914,pDC,pDC,0.8333333333333335,0.28233609879779914,0.3182046979865772,0.6150971599402093
proximal,7,lognorm_mean,112,0.191938182382669,B,pDC,0.7380952380952381,0.17705296928092173,0.3195469798657718,0.6195814648729447
proximal,7,pseudobulk_cpm,112,0.18683270952274178,B,pDC,0.5000000000000001,0.1490246132086862,0.3130872483221476,0.6001494768310912
proximal,7,depth_matched,112,0.25310036738706726,B,pDC,0.7857142857142858,0.1516463425151353,0.3199664429530201,0.6233183856502242
proximal,7,cpm_mean,112,0.1871604256860479,B,pDC,0.7142857142857144,0.15651034030736327,0.2906040268456376,0.5724962630792227
proximal,7,archr_style,112,0.191938182382669,B,pDC,0.7380952380952381,0.17705296928092173,0.3195469798657718,0.6195814648729447
proximal,8,raw_mean,112,0.2854752746778895,pDC,pDC,0.9285714285714287,0.2854752746778895,0.32298657718120805,0.6195814648729447
proximal,8,zscale_mean,112,0.3057246839263846,pDC,pDC,0.9285714285714287,0.3057246839263846,0.32298657718120805,0.6180866965620329
proximal,8,lognorm_mean,112,0.19207616813564,B,pDC,0.7142857142857144,0.18529761802093933,0.31031879194630874,0.6128550074738416
proximal,8,pseudobulk_cpm,112,0.17932973420494333,B,pDC,0.38095238095238104,0.15306069648308812,0.31266778523489935,0.6053811659192825
proximal,8,depth_matched,112,0.24107835865946842,B,pDC,0.7857142857142858,0.16227124549390276,0.31711409395973156,0.6121076233183856
proximal,8,cpm_mean,112,0.18529761802093933,B,pDC,0.7142857142857144,0.16092588440243544,0.28942953020134227,0.5769805680119582
proximal,8,archr_style,112,0.19207616813564,B,pDC,0.7142857142857144,0.18529761802093933,0.31031879194630874,0.6128550074738416
proximal,9,raw_mean,112,0.28238784345516327,pDC,pDC,0.8571428571428572,0.28238784345516327,0.3295302013422819,0.617339312406577
proximal,9,zscale_mean,112,0.3031546992772996,pDC,pDC,0.880952380952381,0.3031546992772996,0.33104026845637585,0.6225710014947683
proximal,9,lognorm_mean,112,0.17926074132845785,B,pDC,0.523809523809524,0.17789813201786916,0.3160234899328859,0.6076233183856502
proximal,9,pseudobulk_cpm,112,0.18051986132431827,B,pDC,0.2380952380952381,0.14771374855546165,0.31401006711409396,0.5949177877428998
proximal,9,depth_matched,112,0.2398019904444866,B,pDC,0.7619047619047621,0.15466478086137606,0.3235738255033557,0.6098654708520179
proximal,9,cpm_mean,112,0.18024388981837625,B,pDC,0.6666666666666669,0.15582041154250822,0.2871644295302013,0.5620328849028401
proximal,9,archr_style,112,0.17926074132845785,B,pDC,0.523809523809524,0.17789813201786916,0.3160234899328859,0.6076233183856502
proximal,10,raw_mean,112,0.25641202545837144,pDC,pDC,0.8095238095238096,0.25641202545837144,0.3080536912751678,0.5971599402092675
proximal,10,zscale_mean,112,0.2801800714076272,pDC,pDC,0.8333333333333335,0.2801800714076272,0.3108221476510067,0.6068759342301944
proximal,10,lognorm_mean,112,0.18816082239508772,B,pDC,0.7142857142857144,0.1756731117512117,0.30981543624161073,0.6158445440956651
proximal,10,pseudobulk_cpm,112,0.1889369922555496,B,pDC,0.38095238095238104,0.1442641047311865,0.3094798657718121,0.6098654708520179
proximal,10,depth_matched,112,0.25285889231936803,B,pDC,0.8095238095238096,0.14755851458336927,0.3018456375838926,0.5979073243647235
