model,method,corr,cell_type,n_test,recall,confusion
proximal,pseudobulk_cpm,pearson,NK,341,0.8768328445747801,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:299; T_CD4:12; T_CD8:30; pDC:0
proximal,pseudobulk_cpm,pearson,T_CD4,1771,0.9525691699604744,B:1; DC:0; Mono_CD14:1; Mono_CD16:0; NK:12; T_CD4:1687; T_CD8:68; pDC:2
proximal,pseudobulk_cpm,pearson,T_CD8,1137,0.6578715919085312,B:0; DC:0; Mono_CD14:1; Mono_CD16:0; NK:322; T_CD4:65; T_CD8:748; pDC:1
proximal,pseudobulk_cpm,pearson,pDC,56,0.9464285714285714,B:0; DC:1; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:2; T_CD8:0; pDC:53
proximal,pseudobulk_cpm,spearman,B,397,0.9974811083123426,B:396; DC:0; Mono_CD14:1; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,pseudobulk_cpm,spearman,DC,111,0.918918918918919,B:0; DC:102; Mono_CD14:1; Mono_CD16:6; NK:1; T_CD4:0; T_CD8:0; pDC:1
proximal,pseudobulk_cpm,spearman,Mono_CD14,1572,0.18893129770992367,B:7; DC:11; Mono_CD14:297; Mono_CD16:1212; NK:25; T_CD4:10; T_CD8:10; pDC:0
proximal,pseudobulk_cpm,spearman,Mono_CD16,221,0.995475113122172,B:0; DC:1; Mono_CD14:0; Mono_CD16:220; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,pseudobulk_cpm,spearman,NK,341,0.9266862170087976,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:316; T_CD4:5; T_CD8:20; pDC:0
proximal,pseudobulk_cpm,spearman,T_CD4,1771,0.8881987577639752,B:0; DC:0; Mono_CD14:4; Mono_CD16:0; NK:61; T_CD4:1573; T_CD8:133; pDC:0
proximal,pseudobulk_cpm,spearman,T_CD8,1137,0.6675461741424802,B:0; DC:0; Mono_CD14:2; Mono_CD16:0; NK:351; T_CD4:25; T_CD8:759; pDC:0
proximal,pseudobulk_cpm,spearman,pDC,56,1.0,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:56
proximal,depth_matched,pearson,B,397,0.9974811083123426,B:396; DC:1; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,depth_matched,pearson,DC,111,0.8828828828828829,B:0; DC:98; Mono_CD14:7; Mono_CD16:0; NK:0; T_CD4:1; T_CD8:5; pDC:0
proximal,depth_matched,pearson,Mono_CD14,1572,0.926208651399491,B:8; DC:16; Mono_CD14:1456; Mono_CD16:32; NK:34; T_CD4:12; T_CD8:13; pDC:1
proximal,depth_matched,pearson,Mono_CD16,221,0.9049773755656109,B:1; DC:1; Mono_CD14:19; Mono_CD16:200; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,depth_matched,pearson,NK,341,0.8563049853372434,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:292; T_CD4:18; T_CD8:31; pDC:0
proximal,depth_matched,pearson,T_CD4,1771,0.9542631281761716,B:1; DC:2; Mono_CD14:0; Mono_CD16:0; NK:3; T_CD4:1690; T_CD8:74; pDC:1
proximal,depth_matched,pearson,T_CD8,1137,0.6657871591908531,B:0; DC:0; Mono_CD14:1; Mono_CD16:0; NK:308; T_CD4:70; T_CD8:757; pDC:1
proximal,depth_matched,pearson,pDC,56,0.9642857142857143,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:2; T_CD8:0; pDC:54
proximal,depth_matched,spearman,B,397,0.9974811083123426,B:396; DC:0; Mono_CD14:1; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,depth_matched,spearman,DC,111,0.9459459459459459,B:0; DC:105; Mono_CD14:0; Mono_CD16:1; NK:1; T_CD4:0; T_CD8:0; pDC:4
proximal,depth_matched,spearman,Mono_CD14,1572,0.17493638676844783,B:7; DC:74; Mono_CD14:275; Mono_CD16:1170; NK:25; T_CD4:9; T_CD8:11; pDC:1
proximal,depth_matched,spearman,Mono_CD16,221,0.995475113122172,B:0; DC:1; Mono_CD14:0; Mono_CD16:220; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,depth_matched,spearman,NK,341,0.9560117302052786,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:326; T_CD4:1; T_CD8:14; pDC:0
proximal,depth_matched,spearman,T_CD4,1771,0.8780350084697911,B:0; DC:0; Mono_CD14:4; Mono_CD16:0; NK:97; T_CD4:1555; T_CD8:113; pDC:2
