12:56:39 total_rss_GB=24.22 n_jobs=3
12:56:49 total_rss_GB=29.55 n_jobs=3
12:56:59 total_rss_GB=31.48 n_jobs=3
12:57:09 total_rss_GB=32.10 n_jobs=3
13:15:17 total_rss_GB=7.38 max_single_GB=4.05 n_jobs=2
13:15:17 total_rss_GB=7.60 max_single_GB=4.05 n_jobs=2
13:15:27 total_rss_GB=9.74 max_single_GB=5.68 n_jobs=2
13:15:27 total_rss_GB=9.74 max_single_GB=5.69 n_jobs=2
13:15:37 total_rss_GB=12.60 max_single_GB=8.55 n_jobs=2
13:15:38 total_rss_GB=12.60 max_single_GB=8.55 n_jobs=2
13:15:47 total_rss_GB=8.40 max_single_GB=8.40 n_jobs=1
13:15:48 total_rss_GB=8.64 max_single_GB=8.64 n_jobs=1
13:15:57 total_rss_GB=8.32 max_single_GB=8.32 n_jobs=1
13:15:58 total_rss_GB=8.67 max_single_GB=8.67 n_jobs=1
13:16:07 total_rss_GB=6.57 max_single_GB=6.57 n_jobs=1
13:16:08 total_rss_GB=6.57 max_single_GB=6.57 n_jobs=1
13:16:17 total_rss_GB=6.57 max_single_GB=6.57 n_jobs=1
13:16:18 total_rss_GB=6.57 max_single_GB=6.57 n_jobs=1
13:16:27 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:16:28 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:16:37 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:16:38 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:16:48 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:16:48 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:16:58 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:16:58 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:08 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:08 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:18 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:18 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:28 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:28 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:38 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:38 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:48 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:48 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:58 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:17:58 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:08 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:08 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:18 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:18 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:28 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:28 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:38 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:38 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:48 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:48 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:58 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:18:58 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:08 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:08 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:18 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:18 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:28 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:28 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:38 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:39 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:48 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:49 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:58 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:19:59 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:20:08 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:20:09 total_rss_GB=6.58 max_single_GB=6.58 n_jobs=1
13:20:18 total_rss_GB=0.37 max_single_GB=0.37 n_jobs=1
13:20:19 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:20:28 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:20:29 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:20:39 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:20:39 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:20:49 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:20:49 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:20:59 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:20:59 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:09 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:09 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:19 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:19 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:29 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:29 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:39 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:39 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:49 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:49 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:59 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:21:59 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:09 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:09 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:19 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:19 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:29 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:29 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:39 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:39 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:49 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:49 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
13:22:59 total_rss_GB=0.00 max_single_GB=0.00 n_jobs=0
