cohort,model,sample_left_out,n_cells,n_types,method,top_share,top_type
COAD,proximal,GSM6058785,29834,8,lognorm_mean,0.5304802062172451,Mast
COAD,proximal,GSM6058785,29834,8,pseudobulk_cpm,0.21302855972276755,Macrophage
COAD,proximal,GSM6058785,29834,8,depth_matched,0.16425681558237593,Mast
LUAD,proximal,GSM8069376,42631,6,raw_mean,0.604520697167756,B_cell
LUAD,proximal,GSM8069376,42631,6,cpm_mean,0.25664488017429193,T_NK
LUAD,proximal,GSM8069376,42631,6,lognorm_mean,0.3393790849673203,T_NK
LUAD,proximal,GSM8069376,42631,6,pseudobulk_cpm,0.22309368191721132,Macrophage
LUAD,proximal,GSM8069376,42631,6,depth_matched,0.31661220043572985,T_NK
LUAD,proximal,GSM8069378,47673,6,raw_mean,0.542042781333771,T_NK
LUAD,proximal,GSM8069378,47673,6,cpm_mean,0.24891952513813667,T_NK
LUAD,proximal,GSM8069378,47673,6,lognorm_mean,0.45062640188194103,T_NK
LUAD,proximal,GSM8069378,47673,6,pseudobulk_cpm,0.2362273647354888,Macrophage
LUAD,proximal,GSM8069378,47673,6,depth_matched,0.3010558564472892,T_NK
LUAD,proximal,GSM8069379,52376,6,raw_mean,0.6676294277929156,B_cell
LUAD,proximal,GSM8069379,52376,6,cpm_mean,0.24997275204359673,T_NK
LUAD,proximal,GSM8069379,52376,6,lognorm_mean,0.379291553133515,T_NK
LUAD,proximal,GSM8069379,52376,6,pseudobulk_cpm,0.23166212534059946,B_cell
LUAD,proximal,GSM8069379,52376,6,depth_matched,0.28861035422343323,T_NK
LUAD,proximal,GSM8069380,51026,6,raw_mean,0.8096123352835037,B_cell
LUAD,proximal,GSM8069380,51026,6,cpm_mean,0.26999835966974683,T_NK
LUAD,proximal,GSM8069380,51026,6,lognorm_mean,0.37787741265241404,B_cell
LUAD,proximal,GSM8069380,51026,6,pseudobulk_cpm,0.26890480616764173,T_NK
LUAD,proximal,GSM8069380,51026,6,depth_matched,0.2697796489693258,T_NK
LUAD,proximal,GSM8069381,54339,6,raw_mean,0.6608276768119116,B_cell
LUAD,proximal,GSM8069381,54339,6,cpm_mean,0.2554740529888329,T_NK
LUAD,proximal,GSM8069381,54339,6,lognorm_mean,0.3763958835121524,T_NK
LUAD,proximal,GSM8069381,54339,6,pseudobulk_cpm,0.2348916137508211,T_NK
LUAD,proximal,GSM8069381,54339,6,depth_matched,0.2916028027151303,T_NK
LUAD,proximal,GSM8069382,54299,6,raw_mean,0.6672681539807525,B_cell
LUAD,proximal,GSM8069382,54299,6,cpm_mean,0.25628827646544183,T_NK
LUAD,proximal,GSM8069382,54299,6,lognorm_mean,0.375,T_NK
LUAD,proximal,GSM8069382,54299,6,pseudobulk_cpm,0.23436132983377078,B_cell
LUAD,proximal,GSM8069382,54299,6,depth_matched,0.28937007874015747,T_NK
