path,gene,target,argmax,correct
signac_profile_AverageExpression_default_scalefactor_1e4,ITGAM,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_1e4,MS4A1,B_cell,B_cell,1
signac_profile_AverageExpression_default_scalefactor_1e4,CD79A,B_cell,B_cell,1
signac_profile_AverageExpression_default_scalefactor_1e4,CD79B,B_cell,B_cell,1
signac_profile_AverageExpression_default_scalefactor_1e4,CD19,B_cell,Macrophage,0
signac_profile_AverageExpression_default_scalefactor_1e4,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_1e4,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_1e4,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_1e4,IL7R,NK_cytotoxic_T,CD4_T,0
signac_profile_AverageExpression_default_scalefactor_1e4,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_1e4,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_1e4,ALB,Hepatocyte,Hepatocyte,1
signac_profile_AverageExpression_default_scalefactor_1e4,APOB,Hepatocyte,Hepatocyte,1
signac_profile_AverageExpression_default_scalefactor_1e4,HNF4A,Hepatocyte,Hepatocyte,1
signac_profile_AverageExpression_default_scalefactor_1e4,TTR,Hepatocyte,Hepatocyte,1
signac_profile_AverageExpression_default_scalefactor_1e4,APOA1,Hepatocyte,Endothelial_stromal,0
signac_profile_AverageExpression_default_scalefactor_median,CD68,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_median,CSF1R,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_median,MRC1,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_median,MSR1,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_median,CD163,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_median,ITGAM,Macrophage,Macrophage,1
signac_profile_AverageExpression_default_scalefactor_median,MS4A1,B_cell,B_cell,1
signac_profile_AverageExpression_default_scalefactor_median,CD79A,B_cell,B_cell,1
signac_profile_AverageExpression_default_scalefactor_median,CD79B,B_cell,B_cell,1
signac_profile_AverageExpression_default_scalefactor_median,CD19,B_cell,Macrophage,0
signac_profile_AverageExpression_default_scalefactor_median,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_median,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_median,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_median,IL7R,NK_cytotoxic_T,CD4_T,0
signac_profile_AverageExpression_default_scalefactor_median,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_median,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_AverageExpression_default_scalefactor_median,ALB,Hepatocyte,Hepatocyte,1
signac_profile_AverageExpression_default_scalefactor_median,APOB,Hepatocyte,Hepatocyte,1
signac_profile_AverageExpression_default_scalefactor_median,HNF4A,Hepatocyte,Hepatocyte,1
signac_profile_AverageExpression_default_scalefactor_median,TTR,Hepatocyte,Hepatocyte,1
signac_profile_AverageExpression_default_scalefactor_median,APOA1,Hepatocyte,Endothelial_stromal,0
signac_profile_mean_of_counts,CD68,Macrophage,Macrophage,1
signac_profile_mean_of_counts,CSF1R,Macrophage,Macrophage,1
signac_profile_mean_of_counts,MRC1,Macrophage,Endothelial_stromal,0
signac_profile_mean_of_counts,MSR1,Macrophage,Endothelial_stromal,0
signac_profile_mean_of_counts,CD163,Macrophage,Hepatocyte,0
signac_profile_mean_of_counts,ITGAM,Macrophage,B_cell,0
signac_profile_mean_of_counts,MS4A1,B_cell,B_cell,1
signac_profile_mean_of_counts,CD79A,B_cell,B_cell,1
signac_profile_mean_of_counts,CD79B,B_cell,B_cell,1
signac_profile_mean_of_counts,CD19,B_cell,B_cell,1
signac_profile_mean_of_counts,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_counts,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_counts,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_counts,IL7R,NK_cytotoxic_T,CD4_T,0
signac_profile_mean_of_counts,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_counts,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_counts,ALB,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_counts,APOB,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_counts,HNF4A,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_counts,TTR,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_counts,APOA1,Hepatocyte,Endothelial_stromal,0
signac_profile_mean_of_data_layer_scalefactor_1e4,CD68,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_1e4,CSF1R,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_1e4,MRC1,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_1e4,MSR1,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_1e4,CD163,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_1e4,ITGAM,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_1e4,MS4A1,B_cell,B_cell,1
signac_profile_mean_of_data_layer_scalefactor_1e4,CD79A,B_cell,B_cell,1
signac_profile_mean_of_data_layer_scalefactor_1e4,CD79B,B_cell,B_cell,1
signac_profile_mean_of_data_layer_scalefactor_1e4,CD19,B_cell,Macrophage,0
signac_profile_mean_of_data_layer_scalefactor_1e4,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_1e4,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_1e4,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_1e4,IL7R,NK_cytotoxic_T,CD4_T,0
signac_profile_mean_of_data_layer_scalefactor_1e4,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_1e4,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_1e4,ALB,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_data_layer_scalefactor_1e4,APOB,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_data_layer_scalefactor_1e4,HNF4A,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_data_layer_scalefactor_1e4,TTR,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_data_layer_scalefactor_1e4,APOA1,Hepatocyte,Endothelial_stromal,0
signac_profile_mean_of_data_layer_scalefactor_median,CD68,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_median,CSF1R,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_median,MRC1,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_median,MSR1,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_median,CD163,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_median,ITGAM,Macrophage,Macrophage,1
signac_profile_mean_of_data_layer_scalefactor_median,MS4A1,B_cell,B_cell,1
signac_profile_mean_of_data_layer_scalefactor_median,CD79A,B_cell,B_cell,1
signac_profile_mean_of_data_layer_scalefactor_median,CD79B,B_cell,B_cell,1
signac_profile_mean_of_data_layer_scalefactor_median,CD19,B_cell,Macrophage,0
signac_profile_mean_of_data_layer_scalefactor_median,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_median,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_median,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_median,IL7R,NK_cytotoxic_T,CD4_T,0
signac_profile_mean_of_data_layer_scalefactor_median,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_median,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
signac_profile_mean_of_data_layer_scalefactor_median,ALB,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_data_layer_scalefactor_median,APOB,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_data_layer_scalefactor_median,HNF4A,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_data_layer_scalefactor_median,TTR,Hepatocyte,Hepatocyte,1
signac_profile_mean_of_data_layer_scalefactor_median,APOA1,Hepatocyte,Endothelial_stromal,0
