gene,argmax_cell_type,argmax_after_unshift
GPI,Mast,Mast
GPNMB,B_cell,B_cell
GPR160,Mast,Mast
GPR183,B_cell,B_cell
GPR65,B_cell,B_cell
GPRC5A,Mast,Mast
GPSM3,Mast,Mast
GPX1,Mast,Mast
GPX2,Mast,Mast
GPX3,Mast,Mast
GPX4,Mast,Mast
GRB2,Mast,Mast
GRINA,Mast,Mast
GRN,Mast,Mast
GSN,B_cell,B_cell
GSPT1,Mast,Mast
GSTK1,Mast,Mast
GSTM3,Mast,Mast
GSTO1,Mast,Mast
GSTP1,Mast,Mast
GTF2A2,Mast,Mast
GTF2H5,Mast,Mast
GTF3A,Mast,Mast
GUK1,Mast,Mast
GYPC,B_cell,B_cell
GZMA,B_cell,B_cell
GZMB,Mast,Mast
GZMH,Mast,Mast
GZMK,B_cell,B_cell
GZMM,Mast,Mast
HBEGF,Mast,Mast
HCFC1R1,Mast,Mast
HCK,B_cell,B_cell
HCLS1,B_cell,B_cell
HCST,B_cell,B_cell
HDAC2,Mast,Mast
HDC,Mast,Mast
HDGF,Mast,Mast
HDLBP,Mast,Mast
HEBP1,Mast,Mast
HEBP2,Mast,Mast
HERPUD1,Mast,Mast
HES1,Mast,Mast
HES4,Epithelial,Epithelial
HES6,Mast,Mast
HEXB,Mast,Mast
HIF1A,Mast,Mast
HIGD2A,Mast,Mast
HINT1,Mast,Mast
HLA-A,Mast,Mast
HLA-B,Mast,Mast
HLA-C,Mast,Mast
HLA-DMA,Mast,Mast
HLA-DMB,B_cell,B_cell
HLA-DPA1,Mast,Mast
HLA-DPB1,B_cell,B_cell
HLA-DQA1,B_cell,B_cell
HLA-DQA2,Mast,Mast
HLA-DQB1,B_cell,B_cell
HLA-DRA,B_cell,B_cell
HLA-DRB1,B_cell,B_cell
HLA-DRB5,B_cell,B_cell
HLA-E,Mast,Mast
HLA-F,Mast,Mast
HM13,Mast,Mast
HMGA1,Mast,Mast
HMGB1,Mast,Mast
HMGB2,Mast,Mast
HMGN1,Mast,Mast
HMGN3,Mast,Mast
HMOX1,Mast,Mast
HNMT,Mast,Mast
HNRNPA0,Mast,Mast
HNRNPA1,Mast,Mast
HNRNPA2B1,Mast,Mast
HNRNPA3,Mast,Mast
HNRNPAB,Mast,Mast
HNRNPC,Mast,Mast
HNRNPDL,Mast,Mast
HNRNPF,Mast,Mast
HNRNPK,Mast,Mast
HOPX,Mast,Mast
HPGD,Mast,Mast
HPGDS,Mast,Mast
HSBP1,Mast,Mast
HSD17B10,Mast,Mast
HSD17B12,Mast,Mast
HSP90AA1,Mast,Mast
HSP90AB1,Mast,Mast
HSP90B1,Mast,Mast
HSPA1A,Mast,Mast
HSPA1B,Mast,Mast
HSPA8,Mast,Mast
HSPB1,Mast,Mast
HSPD1,Mast,Mast
HSPE1,Mast,Mast
HSPG2,Mast,Mast
HSPH1,Mast,Mast
HTRA1,Mast,Mast
HTRA3,Mast,Mast
HYAL2,Mast,Mast
ICAM1,B_cell,B_cell
ICAM3,B_cell,B_cell
ICOS,B_cell,B_cell
ID1,Mast,Mast
ID2,Mast,Mast
ID3,Mast,Mast
ID4,Mast,Mast
IDH2,Mast,Mast
IDS,Mast,Mast
IER2,Mast,Mast
IER3,Mast,Mast
IER5,Mast,Mast
IFI16,Mast,Mast
IFI27,Mast,Mast
IFI27L2,Mast,Mast
IFI30,Mast,Mast
IFI6,Mast,Mast
IFITM1,Mast,Mast
IFITM2,Mast,Mast
IFITM3,B_cell,B_cell
IFNG,B_cell,B_cell
IFNGR2,Mast,Mast
IGBP1,Mast,Mast
IGFBP2,Mast,Mast
IGFBP3,Mast,Mast
IGFBP4,Mast,Mast
IGFBP5,Mast,Mast
IGFBP6,Mast,Mast
IGFBP7,Mast,Mast
IGHA1,B_cell,B_cell
IGHA2,B_cell,B_cell
IGHG1,B_cell,B_cell
IGHG2,B_cell,B_cell
IGHG3,B_cell,B_cell
IGHG4,B_cell,B_cell
IGHM,B_cell,B_cell
IGKC,B_cell,B_cell
IGLC2,B_cell,B_cell
IGLC3,B_cell,B_cell
IGSF6,B_cell,B_cell
IL10RA,B_cell,B_cell
IL1A,Mast,Mast
IL1B,Mast,Mast
IL1RL1,Mast,Mast
IL1RN,Mast,Mast
IL2RB,Mast,Mast
IL2RG,Mast,Mast
IL32,Mast,Mast
IL4I1,Mast,Mast
IL6,B_cell,B_cell
IL6ST,Mast,Mast
IL7R,B_cell,B_cell
ILK,Mast,Mast
IMPDH2,Mast,Mast
INHBA,Mast,Mast
INSIG1,Mast,Mast
INTS6,Mast,Mast
IRF1,Mast,Mast
IRF8,Mast,Mast
ISCU,Mast,Mast
ISG15,Epithelial,Epithelial
ISG20,B_cell,B_cell
ISLR,Mast,Mast
ISOC2,Mast,Mast
ITGA5,B_cell,B_cell
ITGA6,Mast,Mast
ITGAX,B_cell,B_cell
ITGB1,Mast,Mast
ITGB1BP1,Mast,Mast
ITGB2,B_cell,B_cell
ITGB4,Mast,Mast
ITM2A,B_cell,B_cell
ITM2B,Mast,Mast
ITM2C,Mast,Mast
IVNS1ABP,Mast,Mast
JAML,B_cell,B_cell
JCHAIN,B_cell,B_cell
JTB,Mast,Mast
JUN,Mast,Mast
JUNB,Mast,Mast
JUND,Mast,Mast
JUP,Mast,Mast
KCNQ1OT1,Mast,Mast
KCTD12,Mast,Mast
KDELR1,Mast,Mast
KDELR2,Mast,Mast
KDM6B,Mast,Mast
KIF5B,Mast,Mast
KIT,Mast,Mast
KLF10,Mast,Mast
KLF2,B_cell,B_cell
KLF4,Mast,Mast
KLF5,Mast,Mast
KLF6,Mast,Mast
KLF9,Mast,Mast
KLRB1,B_cell,B_cell
KMT2E,Mast,Mast
KRT10,Mast,Mast
KRT18,Mast,Mast
KRT19,Mast,Mast
KRT20,Mast,Mast
KRT8,Mast,Mast
KRTCAP3,Mast,Mast
KTN1,Mast,Mast
KYNU,B_cell,B_cell
LAD1,Mast,Mast
LAIR1,B_cell,B_cell
LAMA4,Mast,Mast
LAMB1,Mast,Mast
LAMB3,Mast,Mast
LAMC1,Mast,Mast
LAMP1,Mast,Mast
LAMP2,Mast,Mast
LAMTOR1,Mast,Mast
LAMTOR2,Mast,Mast
LAMTOR4,Mast,Mast
LAMTOR5,Mast,Mast
LAP3,Mast,Mast
LAPTM4A,Mast,Mast
LAPTM5,Macrophage,Macrophage
LAT,B_cell,B_cell
LAT2,Mast,Mast
LCK,B_cell,B_cell
LCN2,Mast,Mast
LCP1,B_cell,B_cell
LCP2,B_cell,B_cell
LDHA,Mast,Mast
LDHB,Mast,Mast
LDLR,Mast,Mast
LDLRAD4,Mast,Mast
LEO1,Mast,Mast
LEPROT,Mast,Mast
LEPROTL1,Mast,Mast
LGALS1,Mast,Mast
LGALS2,Mast,Mast
LGALS3,Mast,Mast
LGALS3BP,Mast,Mast
LGALS4,Mast,Mast
LGALS9,Mast,Mast
LGMN,Mast,Mast
LIF,Mast,Mast
LILRB4,B_cell,B_cell
LIMA1,Mast,Mast
LIMD2,B_cell,B_cell
LIMS1,Mast,Mast
LINC-PINT,B_cell,B_cell
LIPA,Mast,Mast
LITAF,Mast,Mast
LLGL2,Mast,Mast
LMCD1,Mast,Mast
LMNA,Mast,Mast
LMO4,Mast,Mast
LMO7,Mast,Mast
LOXL1,Mast,Mast
LPP,Mast,Mast
LPXN,Mast,Mast
LRP1,Mast,Mast
LRP10,Mast,Mast
LRRC59,Mast,Mast
LSM2,Mast,Mast
LSM3,Mast,Mast
LSM4,Mast,Mast
LSM5,Mast,Mast
LSM7,Mast,Mast
LSP1,B_cell,B_cell
LSR,Mast,Mast
LST1,B_cell,B_cell
LTB,B_cell,B_cell
LTBP4,Mast,Mast
LTC4S,Mast,Mast
LUM,Mast,Mast
LY6E,B_cell,B_cell
LY86,B_cell,B_cell
LY9,B_cell,B_cell
LY96,B_cell,B_cell
LYN,Mast,Mast
LYPLA1,Mast,Mast
LYZ,Mast,Mast
MAFB,Mast,Mast
MAFF,Mast,Mast
MAGED2,Mast,Mast
MAL2,Mast,Mast
MALAT1,Mast,Mast
MANF,Mast,Mast
MAOB,Mast,Mast
MAP1B,Mast,Mast
MAP1LC3A,Mast,Mast
MAP1LC3B,Mast,Mast
MAP3K8,Mast,Mast
MAP4,Mast,Mast
MAPK1,Mast,Mast
MAPK6,Mast,Mast
MARCKS,Mast,Mast
MARCKSL1,Mast,Mast
MATN2,Mast,Mast
MCAM,B_cell,B_cell
MCL1,Mast,Mast
MCTS1,Mast,Mast
MDH2,Mast,Mast
MDK,Mast,Mast
MEF2C,Endothelial,Endothelial
MEG3,Mast,Mast
METTL5,Mast,Mast
METTL9,Mast,Mast
MFAP4,Mast,Mast
MFAP5,Mast,Mast
MFGE8,Mast,Mast
MFSD1,Mast,Mast
MGAT1,B_cell,B_cell
MGAT4A,Mast,Mast
MGLL,Mast,Mast
MGP,B_cell,B_cell
MGST1,Mast,Mast
MGST2,Mast,Mast
MGST3,Mast,Mast
MIDN,Mast,Mast
MIEN1,Mast,Mast
MIF,Mast,Mast
MIR155HG,B_cell,B_cell
MISP,Mast,Mast
MITF,Mast,Mast
MKKS,Mast,Mast
MLEC,Mast,Mast
MLF2,Endothelial,Endothelial
MMP12,Mast,Mast
MMP14,Mast,Mast
MMP19,Mast,Mast
MMP2,Mast,Mast
MMP7,Mast,Mast
MMP9,B_cell,B_cell
MNDA,B_cell,B_cell
MOB1A,Mast,Mast
MORF4L1,Mast,Mast
MORF4L2,Mast,Mast
MPC2,Mast,Mast
MPEG1,B_cell,B_cell
MPG,Mast,Mast
MPLKIP,Mast,Mast
MPST,Mast,Mast
MRC1,B_cell,B_cell
MRC2,Mast,Mast
MRFAP1,Mast,Mast
MRPL11,Mast,Mast
MRPL12,Mast,Mast
MRPL13,Mast,Mast
MRPL14,Mast,Mast
MRPL18,Mast,Mast
MRPL20,Mast,Mast
MRPL23,B_cell,B_cell
MRPL27,Mast,Mast
MRPL32,Mast,Mast
MRPL33,Mast,Mast
MRPL36,Mast,Mast
MRPL4,Mast,Mast
MRPL41,Mast,Mast
