gene,argmax_cell_type,argmax_after_unshift
PKM,Mast,Mast
PKP3,Mast,Mast
PLA2G7,Mast,Mast
PLAC8,Mast,Mast
PLAC9,Mast,Mast
PLAT,Mast,Mast
PLAU,Mast,Mast
PLAUR,Mast,Mast
PLD3,Mast,Mast
PLEC,Mast,Mast
PLEK,B_cell,B_cell
PLEKHB2,Mast,Mast
PLEKHJ1,Mast,Mast
PLIN2,Mast,Mast
PLK2,Mast,Mast
PLK3,Mast,Mast
PLOD2,Mast,Mast
PLP2,Mast,Mast
PLPP1,Mast,Mast
PLPP2,Mast,Mast
PLPP3,Mast,Mast
PLS3,Mast,Mast
PLSCR1,Mast,Mast
PLTP,Mast,Mast
PLVAP,Mast,Mast
PMAIP1,Mast,Mast
PMEPA1,Mast,Mast
PMP22,Mast,Mast
PNKD,Mast,Mast
PNPLA8,Mast,Mast
PNRC1,Mast,Mast
POLD2,Mast,Mast
POLR1D,Mast,Mast
POLR2E,Mast,Mast
POLR2F,Mast,Mast
POLR2H,Mast,Mast
POLR2I,Mast,Mast
POLR2J,Mast,Mast
POLR2K,Mast,Mast
POLR2L,Mast,Mast
POMP,Mast,Mast
PON2,Mast,Mast
POSTN,Mast,Mast
PPA1,Mast,Mast
PPDPF,Mast,Mast
PPIA,Mast,Mast
PPIB,Mast,Mast
PPIC,Mast,Mast
PPIF,Mast,Mast
PPM1G,Mast,Mast
PPP1CA,Mast,Mast
PPP1CB,Mast,Mast
PPP1CC,Mast,Mast
PPP1R14A,Mast,Mast
PPP1R14B,Mast,Mast
PPP1R15A,Mast,Mast
PPP1R1B,Mast,Mast
PPP2R1A,Mast,Mast
PPP2R5C,Mast,Mast
PPP4C,Mast,Mast
PPT1,Mast,Mast
PRAC1,Mast,Mast
PRAP1,Mast,Mast
PRCP,B_cell,B_cell
PRDX1,Macrophage,Macrophage
PRDX2,Mast,Mast
PRDX3,Mast,Mast
PRDX4,B_cell,B_cell
PRDX5,Mast,Mast
PRDX6,Mast,Mast
PRELID1,Mast,Mast
PRELID3B,Mast,Mast
PRF1,B_cell,B_cell
PRKCH,Mast,Mast
PRNP,B_cell,B_cell
PROCR,Mast,Mast
PRR13,Mast,Mast
PRSS23,Mast,Mast
PRSS3,Mast,Mast
PRSS8,Mast,Mast
PSAP,Mast,Mast
PSMA1,Mast,Mast
PSMA4,Mast,Mast
PSMA7,Mast,Mast
PSMB1,Mast,Mast
PSMB2,Mast,Mast
PSMB3,Mast,Mast
PSMB5,Mast,Mast
PSMB6,Mast,Mast
PSMB7,Mast,Mast
PSMB8,Mast,Mast
PSMB9,Mast,Mast
PSMD4,Mast,Mast
PSMD7,Mast,Mast
PSMD8,Mast,Mast
PSME1,Mast,Mast
PSME2,Mast,Mast
PTGDS,Mast,Mast
PTGER4,Mast,Mast
PTGES3,Mast,Mast
PTGS1,Mast,Mast
PTGS2,Mast,Mast
PTMA,Mast,Mast
PTMS,Endothelial,Endothelial
PTN,Mast,Mast
PTP4A2,Mast,Mast
PTPN22,B_cell,B_cell
PTPN7,B_cell,B_cell
PTPRC,B_cell,B_cell
PTPRE,Mast,Mast
PTTG1IP,Mast,Mast
PYCARD,Mast,Mast
PYCR1,Mast,Mast
QKI,B_cell,B_cell
QSOX1,Mast,Mast
RAB10,Mast,Mast
RAB11A,Mast,Mast
RAB11FIP1,Mast,Mast
RAB13,Mast,Mast
RAB1A,Mast,Mast
RAB20,Mast,Mast
RAB25,Mast,Mast
RAB2A,Mast,Mast
RAB31,B_cell,B_cell
RAB34,Mast,Mast
RAB4A,Mast,Mast
RAB5C,Mast,Mast
RAB7A,Mast,Mast
RABAC1,Mast,Mast
RAC1,Mast,Mast
RAC2,B_cell,B_cell
RAD23A,Mast,Mast
RALA,Mast,Mast
RALY,Mast,Mast
RAMP2,Mast,Mast
RAMP3,Mast,Mast
RAN,Mast,Mast
RANBP1,Mast,Mast
RAP1A,Mast,Mast
RARRES2,Mast,Mast
RASSF5,Mast,Mast
RBBP8,Mast,Mast
RBCK1,Mast,Mast
RBM3,Mast,Mast
RBM39,Mast,Mast
RBM47,Mast,Mast
RBM8A,Mast,Mast
RBMS1,B_cell,B_cell
RBP1,Mast,Mast
RBPJ,Mast,Mast
RBPMS,Mast,Mast
RBX1,Mast,Mast
RCAN1,Mast,Mast
RCN1,Mast,Mast
RCN2,Mast,Mast
RCN3,B_cell,B_cell
RDX,B_cell,B_cell
REG4,Mast,Mast
REL,Mast,Mast
RENBP,Mast,Mast
RER1,Mast,Mast
REXO2,Mast,Mast
RGCC,B_cell,B_cell
RGS1,B_cell,B_cell
RGS10,Mast,Mast
RGS13,Mast,Mast
RGS16,Mast,Mast
RGS2,Mast,Mast
RGS5,Mast,Mast
RHBDD2,Mast,Mast
RHEB,Mast,Mast
RHOA,Mast,Mast
RHOB,Mast,Mast
RHOBTB3,Mast,Mast
RHOC,Mast,Mast
RHOG,Mast,Mast
RHOH,Mast,Mast
RILPL2,B_cell,B_cell
RNASE1,Mast,Mast
RNASE6,Mast,Mast
RNASET2,Mast,Mast
RND3,Mast,Mast
RNF114,Mast,Mast
RNF130,Mast,Mast
RNF149,Mast,Mast
RNF7,Mast,Mast
RNH1,Mast,Mast
ROMO1,Mast,Mast
RORA,Mast,Mast
RP1-313I6.12,Mast,Mast
RP11-1143G9.4,Mast,Mast
RP11-138A9.1,Mast,Mast
RP11-138A9.2,Mast,Mast
RP11-347P5.1,B_cell,B_cell
RP11-354E11.2,Mast,Mast
RPL10,Mast,Mast
RPL10A,Mast,Mast
RPL11,Mast,Mast
RPL12,Mast,Mast
RPL13,Mast,Mast
RPL13A,Mast,Mast
RPL14,Mast,Mast
RPL15,Mast,Mast
RPL17,Mast,Mast
RPL18,Mast,Mast
RPL18A,Mast,Mast
RPL19,Mast,Mast
RPL21,Mast,Mast
RPL22,Mast,Mast
RPL22L1,Mast,Mast
RPL23,Mast,Mast
RPL23A,Mast,Mast
RPL24,Mast,Mast
RPL26,Mast,Mast
RPL27,Mast,Mast
RPL27A,Mast,Mast
RPL28,Mast,Mast
RPL29,Mast,Mast
RPL3,Mast,Mast
RPL30,Mast,Mast
RPL31,Mast,Mast
RPL32,Mast,Mast
RPL34,Mast,Mast
RPL35,Mast,Mast
RPL35A,Mast,Mast
RPL36,Mast,Mast
RPL36A,Epithelial,Epithelial
RPL36AL,Mast,Mast
RPL37,Mast,Mast
RPL37A,Mast,Mast
RPL38,Mast,Mast
RPL39,Mast,Mast
RPL4,Mast,Mast
RPL41,Mast,Mast
RPL5,Mast,Mast
RPL6,Mast,Mast
RPL7,Mast,Mast
RPL7A,Mast,Mast
RPL8,Mast,Mast
RPL9,Mast,Mast
RPLP0,Mast,Mast
RPLP1,Mast,Mast
RPLP2,Mast,Mast
RPN2,Mast,Mast
RPS10,Mast,Mast
RPS11,Mast,Mast
RPS12,Mast,Mast
RPS13,Mast,Mast
RPS14,Mast,Mast
RPS15,Mast,Mast
RPS15A,Mast,Mast
RPS16,Mast,Mast
RPS17,Mast,Mast
RPS18,Mast,Mast
RPS19,Mast,Mast
RPS19BP1,Mast,Mast
RPS2,Mast,Mast
RPS20,Mast,Mast
RPS21,Mast,Mast
RPS23,Mast,Mast
RPS24,Mast,Mast
RPS25,Mast,Mast
RPS26,Mast,Mast
RPS27,Mast,Mast
RPS27A,Mast,Mast
RPS27L,Mast,Mast
RPS28,Mast,Mast
RPS29,Mast,Mast
RPS3,Mast,Mast
RPS3A,Mast,Mast
RPS4X,Mast,Mast
RPS5,Mast,Mast
RPS6,Mast,Mast
RPS7,Mast,Mast
RPS8,Mast,Mast
RPS9,Mast,Mast
RPSA,Mast,Mast
RRBP1,Mast,Mast
RSL1D1,Mast,Mast
RSL24D1,Mast,Mast
RTN4,Mast,Mast
RUNX3,T_NK,T_NK
RWDD1,Mast,Mast
S100A10,Mast,Mast
S100A11,Mast,Mast
S100A12,Mast,Mast
S100A13,Mast,Mast
S100A14,Mast,Mast
S100A16,Mast,Mast
S100A4,Mast,Mast
S100A6,Mast,Mast
S100A8,Mast,Mast
S100A9,Mast,Mast
S100P,Mast,Mast
SAMHD1,Mast,Mast
SAMSN1,Mast,Mast
SAP18,Mast,Mast
SARAF,Mast,Mast
SAT1,Mast,Mast
SBDS,Mast,Mast
SCAND1,Mast,Mast
SCARA5,Mast,Mast
SCARB2,Mast,Mast
SCD,Mast,Mast
SCP2,Mast,Mast
SCPEP1,Mast,Mast
SDC1,Mast,Mast
SDC2,Mast,Mast
SDC4,Mast,Mast
SDCBP,Mast,Mast
SDF2L1,Mast,Mast
SDF4,Mast,Mast
SDHC,Mast,Mast
SDS,Mast,Mast
SEC11A,Mast,Mast
SEC11C,Mast,Mast
SEC61B,Mast,Mast
SEC61G,Mast,Mast
SEC62,Mast,Mast
SERBP1,Mast,Mast
SERF2,Mast,Mast
SERINC2,Mast,Mast
SERP1,Mast,Mast
SERPINA1,Mast,Mast
SERPINB1,Mast,Mast
SERPINB6,Mast,Mast
SERPINB9,B_cell,B_cell
SERPINE2,Mast,Mast
SERPINF1,Mast,Mast
SERPING1,Mast,Mast
SERPINH1,Mast,Mast
SERTAD1,Mast,Mast
SET,Mast,Mast
SF1,Mast,Mast
SF3B5,Mast,Mast
SF3B6,Mast,Mast
SFN,Mast,Mast
SFRP1,Mast,Mast
SFRP2,Mast,Mast
SFT2D1,Mast,Mast
SGK1,Mast,Mast
SH2D2A,B_cell,B_cell
SH3BGRL,Mast,Mast
SH3BGRL3,Mast,Mast
SH3BP5,Mast,Mast
SH3YL1,Mast,Mast
SIVA1,Mast,Mast
SKIL,Mast,Mast
SKP1,Mast,Mast
SLA,B_cell,B_cell
SLC11A1,Mast,Mast
SLC12A2,Mast,Mast
SLC16A10,Mast,Mast
SLC16A3,Mast,Mast
SLC18A2,Mast,Mast
SLC25A3,Mast,Mast
SLC25A37,Mast,Mast
SLC25A39,Mast,Mast
SLC25A5,Mast,Mast
SLC25A6,Mast,Mast
SLC2A1,Mast,Mast
SLC2A3,B_cell,B_cell
SLC38A1,Mast,Mast
SLC38A2,Mast,Mast
SLC39A1,Mast,Mast
SLC39A4,Mast,Mast
SLC43A2,Mast,Mast
SLC44A4,Mast,Mast
SLC45A3,Mast,Mast
SLC52A2,Mast,Mast
SLC7A5,B_cell,B_cell
SLC7A7,Mast,Mast
SLC9A3R2,Mast,Mast
SLIRP,Mast,Mast
SLPI,Mast,Mast
SMAGP,Mast,Mast
SMCHD1,Mast,Mast
SMIM14,Mast,Mast
SMIM22,Mast,Mast
SMS,Mast,Mast
SNHG7,Mast,Mast
SNHG8,Mast,Mast
SNRPB,Mast,Mast
SNRPB2,Mast,Mast
SNRPC,Mast,Mast
SNRPD1,Mast,Mast
SNRPD2,Mast,Mast
SNRPD3,Mast,Mast
SNRPE,Mast,Mast
SNRPF,Mast,Mast
SNRPG,Mast,Mast
SNRPN,Mast,Mast
SNU13,Mast,Mast
SNX10,B_cell,B_cell
SNX3,Mast,Mast
SOCS3,Mast,Mast
SOD1,Mast,Mast
SOD2,Mast,Mast
SOD3,Mast,Mast
SON,Mast,Mast
SOX4,Mast,Mast
SOX9,Mast,Mast
SPARC,Mast,Mast
SPARCL1,Mast,Mast
SPATS2L,Mast,Mast
SPCS1,Mast,Mast
SPCS2,Mast,Mast
SPCS3,Mast,Mast
SPG21,Mast,Mast
SPHK1,Mast,Mast
SPI1,B_cell,B_cell
SPINK1,Mast,Mast
SPINT1,Mast,Mast
SPINT2,Mast,Mast
SPOCK2,B_cell,B_cell
SPON2,Mast,Mast
SPP1,Mast,Mast
SPRY1,Mast,Mast
SPTBN1,Mast,Mast
SPTSSA,Mast,Mast
SQLE,Mast,Mast
SQSTM1,Mast,Mast
SRGN,B_cell,B_cell
SRI,Mast,Mast
SRM,Mast,Mast
SRP14,Mast,Mast
SRP9,Mast,Mast
SRPK1,Mast,Mast
SRSF2,Mast,Mast
SRSF3,Mast,Mast
SRSF5,Mast,Mast
SRSF7,Mast,Mast
SRSF9,Mast,Mast
SSB,Mast,Mast
SSBP1,Mast,Mast
SSNA1,Mast,Mast
SSR2,Mast,Mast
SSR3,Mast,Mast
SSR4,Mast,Mast
SSU72,B_cell,B_cell
ST13,Mast,Mast
ST14,Mast,Mast
STARD10,Mast,Mast
STAT1,Mast,Mast
STAT3,Mast,Mast
STAT4,B_cell,B_cell
STAU1,Mast,Mast
STK17A,Mast,Mast
STK17B,B_cell,B_cell
STK4,Mast,Mast
STMN1,Mast,Mast
STOM,B_cell,B_cell
STOML2,Mast,Mast
STRAP,Mast,Mast
STX11,B_cell,B_cell
STXBP2,Mast,Mast
STXBP6,Mast,Mast
SUCLG1,Mast,Mast
SULF1,Mast,Mast
SUMO1,Mast,Mast
SUMO2,Mast,Mast
SYAP1,Mast,Mast
SYNE2,B_cell,B_cell
SYNGR2,Mast,Mast
SYPL1,Mast,Mast
SYTL3,B_cell,B_cell
TACSTD2,Mast,Mast
TAF1D,Mast,Mast
TAGLN,Mast,Mast
TAGLN2,Mast,Mast
TALDO1,Mast,Mast
TANK,B_cell,B_cell
TATDN1,Mast,Mast
TAX1BP1,Mast,Mast
TAX1BP3,Mast,Mast
TBCA,B_cell,B_cell
TBCB,Mast,Mast
TCEAL4,Mast,Mast
TCEAL8,Mast,Mast
TCF21,Mast,Mast
TCF4,Mast,Mast
TCP1,Mast,Mast
TECR,Mast,Mast
TERF2IP,Mast,Mast
TFF1,Mast,Mast
TFF3,Mast,Mast
TFPI,Mast,Mast
TFRC,Mast,Mast
TGFB1I1,Mast,Mast
TGFBI,Mast,Mast
TGFBR2,Mast,Mast
THAP2,Mast,Mast
THBD,Macrophage,Macrophage
THBS1,Mast,Mast
THBS2,Epithelial,Epithelial
THEMIS2,B_cell,B_cell
THOC7,Mast,Mast
THY1,Mast,Mast
TIGIT,Mast,Mast
TIMM13,Mast,Mast
TIMM8B,Mast,Mast
TIMP1,Mast,Mast
TIMP2,Mast,Mast
TIMP3,Mast,Mast
TINAGL1,Mast,Mast
TKT,Mast,Mast
TM4SF1,Mast,Mast
TM9SF3,Mast,Mast
TMA7,Mast,Mast
TMBIM6,B_cell,B_cell
TMC5,Mast,Mast
TMED10,Mast,Mast
TMED2,Mast,Mast
TMED3,Mast,Mast
TMED9,Mast,Mast
TMEM106C,Mast,Mast
TMEM123,Mast,Mast
TMEM141,Mast,Mast
TMEM147,Mast,Mast
TMEM14B,Mast,Mast
TMEM14C,Mast,Mast
TMEM165,Mast,Mast
TMEM167A,Mast,Mast
TMEM176A,Endothelial,Endothelial
TMEM176B,Endothelial,Endothelial
TMEM219,Mast,Mast
TMEM230,Mast,Mast
TMEM258,Mast,Mast
TMEM45B,Mast,Mast
TMEM50A,Mast,Mast
TMEM54,Mast,Mast
TMEM59,Mast,Mast
TMEM98,Mast,Mast
TMSB10,Mast,Mast
TMSB4X,Mast,Mast
TNF,B_cell,B_cell
TNFAIP2,Mast,Mast
TNFAIP3,Mast,Mast
TNFAIP6,Mast,Mast
TNFAIP8,Mast,Mast
TNFRSF12A,Mast,Mast
TNFRSF13C,B_cell,B_cell
TNFRSF17,B_cell,B_cell
TNFRSF18,T_NK,T_NK
TNFRSF1A,Mast,Mast
TNFRSF1B,Mast,Mast
TNFRSF4,T_NK,T_NK
TNFRSF9,B_cell,B_cell
TNFSF10,Mast,Mast
TNFSF13B,Mast,Mast
TOB1,Mast,Mast
TOMM20,Mast,Mast
TOMM22,Mast,Mast
TOMM40,Mast,Mast
TOMM7,Mast,Mast
TPD52,Mast,Mast
TPI1,Mast,Mast
TPM1,Mast,Mast
TPM2,Mast,Mast
TPM3,Mast,Mast
TPM4,Mast,Mast
TPP1,Mast,Mast
TPPP3,Mast,Mast
TPSAB1,Mast,Mast
TPSB2,Mast,Mast
TPT1,Mast,Mast
TRAC,Mast,Mast
TRAF4,Mast,Mast
TRAT1,B_cell,B_cell
TRBC1,B_cell,B_cell
TRBC2,B_cell,B_cell
TREM1,B_cell,B_cell
TREM2,Mast,Mast
TRIB1,Mast,Mast
TRIM2,Mast,Mast
TRIM31,Mast,Mast
TRMT112,Mast,Mast
TSC22D1,Mast,Mast
TSC22D3,Mast,Mast
TSPAN1,Mast,Mast
TSPAN13,Mast,Mast
TSPAN3,Mast,Mast
TSPAN4,Mast,Mast
TSPAN6,Mast,Mast
TSPAN8,Mast,Mast
TSPO,Mast,Mast
TSPYL2,Mast,Mast
TSTD1,Mast,Mast
TTC3,Mast,Mast
TUBA1A,Other_Myeloid,Other_Myeloid
TUBA1B,Mast,Mast
TUBA1C,Other_Myeloid,Other_Myeloid
TUBA4A,Mast,Mast
TUBB,Mast,Mast
TUBB4B,Mast,Mast
TUBB6,Mast,Mast
TUFM,Mast,Mast
TXN,Mast,Mast
TXNDC17,Mast,Mast
TXNIP,Mast,Mast
TYMP,Mast,Mast
TYROBP,B_cell,B_cell
UBA52,Mast,Mast
UBB,Mast,Mast
UBC,Mast,Mast
UBE2B,Mast,Mast
UBE2D3,Mast,Mast
UBE2E3,Mast,Mast
UBE2I,Mast,Mast
UBE2J1,Mast,Mast
UBL5,Mast,Mast
UBXN4,Mast,Mast
UCHL3,Mast,Mast
UCP2,Mast,Mast
UFC1,Mast,Mast
UPP1,Mast,Mast
UQCC3,Mast,Mast
UQCR10,Mast,Mast
UQCR11,Mast,Mast
UQCRB,Mast,Mast
UQCRC1,Mast,Mast
UQCRC2,Mast,Mast
UQCRFS1,Mast,Mast
UQCRH,Mast,Mast
UQCRQ,Mast,Mast
USH1C,Mast,Mast
UXT,Mast,Mast
VAMP2,Mast,Mast
VAMP5,Mast,Mast
VAMP8,Mast,Mast
VAPA,Mast,Mast
VASN,Mast,Mast
VCAN,Mast,Mast
VCL,Mast,Mast
VDAC1,Mast,Mast
VDAC2,Mast,Mast
VEGFA,Mast,Mast
VIL1,Mast,Mast
VIM,B_cell,B_cell
VKORC1,Mast,Mast
VMP1,Mast,Mast
VPREB3,Mast,Mast
VPS28,Mast,Mast
VPS29,Mast,Mast
VPS37B,Mast,Mast
VWA5A,Mast,Mast
VWF,Mast,Mast
WASF2,Mast,Mast
WDR1,Mast,Mast
WDR83OS,Mast,Mast
WIPF1,B_cell,B_cell
WSB1,Mast,Mast
WTAP,Mast,Mast
WWTR1,Mast,Mast
XBP1,Mast,Mast
YBX1,Mast,Mast
YBX3,Mast,Mast
YIF1A,Mast,Mast
YPEL5,Mast,Mast
YWHAB,Mast,Mast
YWHAE,Mast,Mast
YWHAH,Mast,Mast
YWHAQ,Mast,Mast
YWHAZ,Mast,Mast
ZC3H15,Mast,Mast
ZC3HAV1,Mast,Mast
ZEB2,B_cell,B_cell
ZFAND5,Mast,Mast
ZFAS1,Mast,Mast
ZFP36,Mast,Mast
ZFP36L1,Mast,Mast
ZFP36L2,Mast,Mast
ZNF331,Mast,Mast
ZNF593,Mast,Mast
ZNF703,Mast,Mast
ZNF706,Mast,Mast
ZNHIT1,Mast,Mast
