cohort,target_depth,spread,deep_type,seed,cell_type,n_cells,imposed_factor,realised_median_rowsum,detection_rate,mean_lognorm_profile,mean_cpm_profile,mean_raw_profile,mean_zscale_profile,share_raw_mean,share_zscale_mean,share_lognorm_mean,share_pseudobulk_cpm,share_cpm_mean
HCC,5629.6,5,NK_cytotoxic_T,1,B_cell,416,0.3807307877431757,2130.5,0.0305813676724891,0.0573935235050507,0.1721614837766466,0.0350373871845637,-0.0577169322418842,0.0460359817508823,0.0473960575019368,0.0897822157183438,0.1722820005164844,0.1746578290436429
HCC,5629.6,5,NK_cytotoxic_T,1,CD4_T,3305,0.2,1107.0,0.0159950740679458,0.0393106597236067,0.1721614850257757,0.0174887785741512,-0.1030926549254965,0.0018421279159851,0.0019109925109752,0.0101230954635448,0.0927950417491607,0.0969441335973142
HCC,5629.6,5,NK_cytotoxic_T,1,Endothelial_stromal,1137,0.5253055608807534,2951.0,0.0405535217361716,0.0659435419292136,0.1721615099420899,0.0490542285215863,-0.0178247089307026,0.1617801497804941,0.167186020487217,0.2053542222604803,0.1847120599121976,0.1840406301110441
HCC,5629.6,5,NK_cytotoxic_T,1,Hepatocyte,1415,0.2759459322922429,1544.0,0.022824314357619,0.0487984894891251,0.1721614919176256,0.025526827839425,-0.0768062254424421,0.048583971765516,0.0534044934148231,0.1406559352672807,0.276577429628992,0.2722733924421107
HCC,5629.6,5,NK_cytotoxic_T,1,Macrophage,2079,0.7247796636776955,4066.0,0.0532328501175853,0.0748718266094278,0.1721614597337545,0.0665983817399845,0.0266804594357308,0.3301885168287854,0.333717827322028,0.259499010071447,0.1510544891107859,0.1478178531462511
HCC,5629.6,5,NK_cytotoxic_T,1,NK_cytotoxic_T,3677,1.0,5621.0,0.0706496415564403,0.0843626349551362,0.1721614433116219,0.0936805052211588,0.0810229778485854,0.4115692519583369,0.3963846087630197,0.2945855212189033,0.1225789790823792,0.1242661616596367
HCC,5629.6,10,NK_cytotoxic_T,1,B_cell,416,0.1,557.0,0.0086733165588305,0.0265976985908612,0.1724108195757605,0.0091957963589487,-0.116319652696503,0.0131721866864364,0.0141376872812537,0.0404993017361769,0.1764624747849175,0.1762900639644144
HCC,5629.6,10,NK_cytotoxic_T,1,CD4_T,3305,0.3981071705534972,2216.0,0.0301513967485944,0.0566619682307141,0.1724108191551581,0.0348527560730407,-0.0504698178683848,0.0203617179014154,0.0204996465578179,0.041895829382252,0.0782572714263547,0.0810503267185048
HCC,5629.6,10,NK_cytotoxic_T,1,Endothelial_stromal,1137,0.6309573444801932,3545.0,0.0474089111427902,0.0710289640119179,0.1724108092208872,0.0589461677464481,0.0207495814801563,0.3816485922656505,0.394820778952087,0.373424596127653,0.179221047912967,0.1798762090308787
HCC,5629.6,10,NK_cytotoxic_T,1,Hepatocyte,1415,0.1584893192461113,888.0,0.0135911586101474,0.0357256861771138,0.1724108181347184,0.0147109441210438,-0.098267109863168,0.0255340425165083,0.02841330321891,0.0993086326097826,0.2781158945535422,0.2729780521025499
HCC,5629.6,10,NK_cytotoxic_T,1,Macrophage,2079,0.251188643150958,1403.0,0.0207430313349316,0.0462256009918118,0.1724108224404837,0.0230792988848884,-0.0768087265125392,0.0360511025671971,0.0399993103567179,0.0939983793382872,0.1646178514163548,0.1651523249599144
HCC,5629.6,10,NK_cytotoxic_T,1,NK_cytotoxic_T,3677,1.0,5621.0,0.0706488676003645,0.0844831432569309,0.1724107781868832,0.0938255887169557,0.0948134181199047,0.523232358062792,0.5021292736332132,0.3508732608058482,0.1233254599058636,0.1246530232237375
HCC,5629.6,20,NK_cytotoxic_T,1,B_cell,416,0.3017088168272581,1688.0,0.0247541709574419,0.0512685644091332,0.1725714896664434,0.0278327941580569,-0.058425118563529,0.0767597977462163,0.0838007144459592,0.1380226758934888,0.1536921669801715,0.1550382245845341
HCC,5629.6,20,NK_cytotoxic_T,1,CD4_T,3305,0.5492802716530588,3065.0,0.0400851440324343,0.0655244415170457,0.1725714987157527,0.0481508181859645,-0.0073835510951967,0.1080815227708078,0.1134312388907104,0.1614578839284173,0.0936890606933922,0.0960360329266398
