cohort,spread,deep_type,seed,lognorm_mean_range,cpm_mean_range,raw_mean_range,detection_range,rho_detection_vs_lognormmean,rho_depth_vs_detection,rho_lognormmean_vs_share_lognorm,rho_rawmean_vs_share_raw
LUAD,2,T_NK,1,1.3464806952176014,1.00000163804532,2.0103117071957386,1.726334298663205,1.0,0.8285714285714287,0.6571428571428573,0.7714285714285715
LUAD,2,T_NK,2,1.3307351138545405,1.0000015500337276,1.9889802790207118,1.6979373055386509,1.0,0.8285714285714287,0.8285714285714287,0.8285714285714287
LUAD,5,B_cell,0,2.507250814883967,1.0000009051148164,5.77340082410223,4.4690548826839285,1.0,1.0,1.0,1.0
LUAD,5,B_cell,1,2.2410944164097137,1.000000690872855,5.054853845549377,3.854157212143789,0.942857142857143,1.0,0.8285714285714287,0.8857142857142858
LUAD,5,B_cell,2,2.2128184461618647,1.0000008672539835,4.998709064777689,3.7905383037504095,1.0,1.0,0.942857142857143,0.942857142857143
LUAD,5,T_NK,0,2.2091325407908506,1.0000010331769673,4.976955813637188,3.7854699014894724,0.942857142857143,1.0,0.8285714285714287,0.8857142857142858
LUAD,5,T_NK,1,2.502027451422439,1.000001016451841,5.741935288279233,4.459471272557918,1.0,1.0,0.942857142857143,0.942857142857143
LUAD,5,T_NK,2,2.235669036679752,1.0000008612594444,5.024595662152758,3.8443416781492523,0.942857142857143,1.0,0.942857142857143,0.942857142857143
LUAD,10,B_cell,0,3.972671363639665,1.0000005646627799,11.545021003264,8.523932896035152,1.0,1.0,0.942857142857143,0.942857142857143
LUAD,10,B_cell,1,3.5535658241652666,1.0000005470942306,10.100270446696543,7.405682381817241,1.0,1.0,0.942857142857143,0.942857142857143
LUAD,10,B_cell,2,3.529167566988754,1.0000004969957839,10.048042337608294,7.34203867736165,1.0,1.0,0.942857142857143,0.942857142857143
LUAD,10,T_NK,0,3.9623505710357234,1.0000006229956215,11.475015162375758,8.500295730648977,1.0,1.0,0.942857142857143,1.0
LUAD,10,T_NK,1,3.548982441480621,1.000000537119935,10.062490199089282,7.399775792743577,1.0,1.0,0.8285714285714287,0.942857142857143
LUAD,10,T_NK,2,3.5105313788984613,1.0000006769861278,9.95445671147867,7.298619005410432,1.0,1.0,0.942857142857143,0.942857142857143
LUAD,20,B_cell,0,6.597566518745742,1.0000004745523092,23.08598210509329,16.647321578698737,1.0,1.0,0.942857142857143,1.0
LUAD,20,B_cell,1,5.892718577526765,1.0000012382046877,20.197384505847054,14.511902835299807,1.0,1.0,0.942857142857143,0.942857142857143
LUAD,20,B_cell,2,5.864827081563196,1.0000005036613329,20.11688477698732,14.427713704979737,1.0,1.0,1.0,1.0
LUAD,20,T_NK,0,5.817969343246265,1.000000790873342,19.86741610614963,14.295668860745787,1.0,1.0,0.8285714285714287,0.942857142857143
LUAD,20,T_NK,1,5.823324307807786,1.000000835011301,19.884054696850786,14.310084321674362,1.0,1.0,0.942857142857143,1.0
LUAD,20,T_NK,2,5.82610782899393,1.0000008842571928,19.885593173275236,14.320505065412469,1.0,1.0,0.942857142857143,0.8285714285714287
LUAD,40,B_cell,0,10.086239201492786,1.0000003700222504,40.37473504260255,28.718340180731868,1.0,1.0,0.942857142857143,0.942857142857143
LUAD,40,B_cell,1,10.093813188564994,1.000000504323109,40.4073084624573,28.73991981228048,1.0,1.0,1.0,1.0
LUAD,40,B_cell,2,11.306197579245767,1.0000005160168892,46.118616512027494,32.86443388357925,1.0,1.0,1.0,1.0
LUAD,40,T_NK,0,10.065559286450656,1.000000712003906,40.17420435928712,28.659711051208173,1.0,1.0,1.0,1.0
LUAD,40,T_NK,1,10.067483550370307,1.0000008161586509,40.181697936181585,28.665314110988582,1.0,1.0,0.9856107606091623,0.9856107606091623
LUAD,40,T_NK,2,9.993961802147131,1.0000008540202132,39.86739336946919,28.42366703531293,1.0,1.0,0.942857142857143,0.942857142857143
