cohort,mixture_variant,geneset,method,truth,rmse_mean,rmse_sd,r_mean,r_sd,bias_deepest_mean,bias_deepest_sd,deepest_type,n_genes_mean,n_degenerate
COAD,rawsum,common,depth_matched,fragfrac,0.15534331956560762,0.02716049508638712,0.5424865225513411,0.11909131163796534,-0.11316745798801849,0.09336093003043854,Mast,1600.0,0
COAD,rawsum,common,lognorm_mean,cellfrac,0.1432638990172563,0.028743585823133806,0.38946783714548266,0.13072329268029081,0.08013072315548601,0.036822844172303526,Mast,1600.0,0
COAD,rawsum,common,lognorm_mean,fragfrac,0.16672816385305178,0.03887615976274214,0.4827361979073846,0.18883292884190725,-0.2070091619550605,0.04758333094266693,Mast,1600.0,0
COAD,rawsum,common,lognorm_mean_expm1,cellfrac,0.15710950375800528,0.018183680570140442,0.30352190585774,0.07526471410387323,0.06353053723637533,0.03642032892068852,Mast,1600.0,0
COAD,rawsum,common,lognorm_mean_expm1,fragfrac,0.18548544756082527,0.025894530043891546,0.37072256448829677,0.09755359565602924,-0.2236093478741711,0.04463426987808893,Mast,1600.0,0
COAD,rawsum,common,pseudobulk_cpm,cellfrac,0.1501007760283267,0.002834287397678446,0.5133055627650176,0.027880814684484875,0.2660009697584516,0.024827972236321875,Mast,1600.0,0
COAD,rawsum,common,pseudobulk_cpm,fragfrac,0.050041238377045986,0.0024751756876833534,0.9592693989422275,0.00848213735470323,-0.02113891535209488,0.015029368264847512,Mast,1600.0,0
COAD,rawsum,common,raw_mean,cellfrac,0.08755376006112371,0.012379575165244384,0.7222715631722797,0.06397589680266014,-0.012723890248952893,0.006640462205366674,Mast,1600.0,0
COAD,rawsum,common,raw_mean,fragfrac,0.17034452711484435,0.01310653289201656,0.40553199010079993,0.04823972114389964,-0.2998637753594993,0.012745101232129082,Mast,1600.0,0
COAD,rawsum,common,zscale_mean,cellfrac,0.16464632675227542,0.005304514297792988,0.34545773183246936,0.04856080973266471,0.30485217249493324,0.03596248344545922,Mast,1600.0,0
