cohort,seed,mixture_variant,geneset,method,truth,n_genes,rmse,pearson_r,n_degenerate,deepest_type,bias_deepest,max_abs_bias_type,max_abs_bias,bias__B_cell,bias__CD4_T,bias__Endothelial_stromal,bias__Hepatocyte,bias__Macrophage,bias__NK_cytotoxic_T,bias__Endothelial,bias__Epithelial,bias__Fibroblast,bias__Mast,bias__Other_Myeloid,bias__T_NK
HCC,0,cellnorm,common,cpm_mean,fragfrac,1200,0.08947665484682119,0.811584391304452,0,Endothelial_stromal,-0.08524363195420186,CD4_T,0.10940894105776774,-0.09020920290142533,0.10940894105776774,-0.08524363195420186,0.002920512413436581,0.0453291218887192,0.017794259495703665,,,,,,
HCC,0,cellnorm,own,raw_mean,cellfrac,1200,0.051267465820638666,0.9414021772782164,0,Endothelial_stromal,-0.06872406155897083,Endothelial_stromal,0.06872406155897083,-0.001852888852772562,0.02502740019297682,-0.06872406155897083,-0.0016273485547855882,0.020356627206285647,0.026820271567266508,,,,,,
HCC,0,cellnorm,own,raw_mean,fragfrac,1200,0.10482412113672344,0.7625018280893269,0,Endothelial_stromal,-0.14629890684082286,Endothelial_stromal,0.14629890684082286,-0.0360079761913549,0.08055347938833211,-0.14629890684082286,-0.01330453130399373,0.05821136606230099,0.056846568885538386,,,,,,
HCC,0,cellnorm,own,zscale_mean,cellfrac,1200,0.21288630730502472,0.09674715324201705,0,Endothelial_stromal,-0.001832708152950583,NK_cytotoxic_T,0.3509213231828372,-0.10328759951567318,-0.16352,-0.001832708152950583,-0.05152366527919913,-0.030757350235014257,0.3509213231828372,,,,,,
HCC,0,cellnorm,own,zscale_mean,fragfrac,1200,0.2228289017599327,0.04902723398387978,0,Endothelial_stromal,-0.0794075534348026,NK_cytotoxic_T,0.3809476205011093,-0.13744268685425548,-0.10799392080464465,-0.0794075534348026,-0.0632008480284073,0.007097388621001059,0.3809476205011093,,,,,,
HCC,0,cellnorm,own,lognorm_mean,cellfrac,1200,0.03411487412046736,0.97208636433274,0,Endothelial_stromal,-0.012156091881069425,Hepatocyte,0.02003880153187989,-0.012564401331136916,0.019381455511902262,-0.012156091881069425,0.02003880153187989,-0.002871772561510608,-0.01182799127006521,,,,,,
HCC,0,cellnorm,own,lognorm_mean,fragfrac,1200,0.07241179803332669,0.8807491506486442,0,Endothelial_stromal,-0.08973093716292146,Endothelial_stromal,0.08973093716292146,-0.04671948866971923,0.07490753470725758,-0.08973093716292146,0.008361618782671743,0.034982966294504717,0.018198306048206672,,,,,,
HCC,0,cellnorm,own,lognorm_mean_expm1,cellfrac,1200,0.035889544301450325,0.9709026869244799,0,Endothelial_stromal,-0.014147925022329469,CD4_T,0.02851833934899064,-0.01947863836722533,0.02851833934899064,-0.014147925022329469,0.0148457969497161,-0.002527670275375476,-0.007209902633776479,,,,,,
HCC,0,cellnorm,own,lognorm_mean_expm1,fragfrac,1200,0.07693366796273297,0.8631595328206774,0,Endothelial_stromal,-0.0917227703041815,Endothelial_stromal,0.0917227703041815,-0.05363372570580762,0.08404441854434594,-0.0917227703041815,0.00316861420050796,0.03532706858063985,0.02281639468449541,,,,,,
HCC,0,cellnorm,own,pseudobulk_cpm,cellfrac,1200,0.02925264210270572,0.9795394500292713,0,Endothelial_stromal,-0.007516280945388093,CD4_T,0.010597754111292414,0.007624017092547433,-0.010597754111292414,-0.007516280945388093,0.008449264914608352,-0.0005823731580226432,0.002623126207547377,,,,,,
HCC,0,cellnorm,own,pseudobulk_cpm,fragfrac,1200,0.06270220947904455,0.911617224674372,0,Endothelial_stromal,-0.08509112622724019,Endothelial_stromal,0.08509112622724019,-0.026531070246034894,0.0449283250840629,-0.08509112622724019,-0.0032279178345997884,0.03727236569799268,0.032649423525819274,,,,,,
HCC,0,cellnorm,own,depth_matched,cellfrac,1200,0.04355379050300176,0.9553898673551787,0,Endothelial_stromal,-0.012924352748349717,CD4_T,0.05447769203814335,-0.01744094721545423,0.05447769203814335,-0.012924352748349717,0.0032499465529194247,-0.0010526062716849907,-0.02630973235557383,,,,,,
HCC,0,cellnorm,own,depth_matched,fragfrac,1200,0.08095810887241306,0.8472825113608671,0,Endothelial_stromal,-0.09049919803020173,CD4_T,0.1100037712334987,-0.05159603455403658,0.1100037712334987,-0.09049919803020173,-0.008427236196288714,0.03680213258433034,0.0037165649626980505,,,,,,
HCC,0,cellnorm,own,cpm_mean,cellfrac,1200,0.053431918555878914,0.930122723323511,0,Endothelial_stromal,-0.0076687866723497925,B_cell,0.05605411556284303,-0.05605411556284303,0.05388286186241241,-0.0076687866723497925,0.014597695162644727,0.007474383032703885,-0.01223203782256822,,,,,,
HCC,0,cellnorm,own,cpm_mean,fragfrac,1200,0.08947665484682119,0.811584391304452,0,Endothelial_stromal,-0.08524363195420186,CD4_T,0.10940894105776774,-0.09020920290142533,0.10940894105776774,-0.08524363195420186,0.002920512413436581,0.0453291218887192,0.017794259495703665,,,,,,
HCC,1,rawsum,common,raw_mean,cellfrac,1200,0.033527709735042974,0.9713127257875149,0,Endothelial_stromal,-0.013357375824226261,NK_cytotoxic_T,0.01547956618362797,-0.0024983032764199823,0.01122343251402476,-0.013357375824226261,0.011190280822475385,0.008921531947774064,-0.01547956618362797,,,,,,
HCC,1,rawsum,common,raw_mean,fragfrac,1200,0.07095924053883787,0.8824248354288156,0,Endothelial_stromal,-0.09766363591263438,Endothelial_stromal,0.09766363591263438,-0.019151195151020577,0.06409106482428173,-0.09766363591263438,-0.0077414715701158345,0.04902333262595164,0.011441905183537398,,,,,,
HCC,1,rawsum,common,zscale_mean,cellfrac,1200,0.17265558972446363,0.1634568658409938,0,Endothelial_stromal,0.007322845033306421,NK_cytotoxic_T,0.24436682939951748,-0.10564094695777156,-0.15524,0.007322845033306421,0.002352874055212945,0.006838398469734703,0.24436682939951748,,,,,,
HCC,1,rawsum,common,zscale_mean,fragfrac,1200,0.18006209454391572,0.15733325299385298,0,Endothelial_stromal,-0.07698341505510166,NK_cytotoxic_T,0.2712883007666828,-0.12229383883237223,-0.10237236768974307,-0.07698341505510166,-0.016578878337378287,0.0469401991479123,0.2712883007666828,,,,,,
HCC,1,rawsum,common,lognorm_mean,cellfrac,1200,0.06882463295054965,0.8865230091407116,0,Endothelial_stromal,0.06784639808411422,Hepatocyte,0.07661039107355165,-0.009945238167944912,-0.05753637842109642,0.06784639808411422,0.07661039107355165,-0.03326159071176564,-0.04371358185685886,,,,,,
HCC,1,rawsum,common,lognorm_mean,fragfrac,1200,0.04249691186154927,0.959382366528525,0,Endothelial_stromal,-0.016459862004293863,Hepatocyte,0.05767863868096044,-0.02659813004254552,-0.004668746110839447,-0.016459862004293863,0.05767863868096044,0.006840209966411928,-0.016792110489693514,,,,,,
HCC,1,rawsum,common,lognorm_mean_expm1,cellfrac,1200,0.05523541100715971,0.9200789352763104,0,Endothelial_stromal,0.058018252986148114,Endothelial_stromal,0.058018252986148114,-0.02087893170953843,-0.028386290306505347,0.058018252986148114,0.05006946952971001,-0.030209113724887517,-0.028613386774926804,,,,,,
HCC,1,rawsum,common,lognorm_mean_expm1,fragfrac,1200,0.04182728592197419,0.9639618404722504,0,Endothelial_stromal,-0.026288007102259963,B_cell,0.037531823584139035,-0.037531823584139035,0.024481342003751613,-0.026288007102259963,0.031137717137118773,0.009892686953290045,-0.0016919154077614357,,,,,,
HCC,1,rawsum,common,pseudobulk_cpm,cellfrac,1200,0.06218302489047731,0.9070665761499798,0,Endothelial_stromal,0.07743484306236756,Endothelial_stromal,0.07743484306236756,0.025516752948923315,-0.04943781536048495,0.07743484306236756,0.020151080115335215,-0.03329373469848904,-0.040371126067652065,,,,,,
HCC,1,rawsum,common,pseudobulk_cpm,fragfrac,1200,0.027063543700537873,0.9836965570070785,0,Endothelial_stromal,-0.0068714170260405225,NK_cytotoxic_T,0.013449654700486716,0.008863861074322703,0.003429816949772017,-0.0068714170260405225,0.0012193277227439728,0.00680806597968854,-0.013449654700486716,,,,,,
HCC,1,rawsum,common,depth_matched,cellfrac,1200,0.05532501529324588,0.9198195125584615,0,Endothelial_stromal,0.069622184396336,Endothelial_stromal,0.069622184396336,-0.016008848374027353,-0.01218147744615657,0.069622184396336,0.029556035056672626,-0.031941400824052835,-0.039046492808771864,,,,,,
