cohort,seed,cell_type,rank,gene
HCC,0,B_cell,191,ENSG10010136661.1
HCC,0,B_cell,192,TNFRSF13C
HCC,0,B_cell,193,RNU6-192P
HCC,0,B_cell,194,RHOT1P2
HCC,0,B_cell,195,MYBL2
HCC,0,B_cell,196,MIR1264
HCC,0,B_cell,197,FCRL1
HCC,0,B_cell,198,RP11-982M15.7
HCC,0,B_cell,199,IGLV3-31
HCC,0,B_cell,200,RP11-930P14.1
HCC,0,CD4_T,1,RNU6-159P
HCC,0,CD4_T,2,C2orf69P4
HCC,0,CD4_T,3,MIR3118-1
HCC,0,CD4_T,4,RP11-566K19.9
HCC,0,CD4_T,5,AC002306.1
HCC,0,CD4_T,6,PRAMEF5
HCC,0,CD4_T,7,RP5-1068B5.5
HCC,0,CD4_T,8,RPL34P31
HCC,0,CD4_T,9,CTDSPL2P1
HCC,0,CD4_T,10,MIR548Q
HCC,0,CD4_T,11,NPM1P26
HCC,0,CD4_T,12,RP11-630H24.4
HCC,0,CD4_T,13,MIR4439
HCC,0,CD4_T,14,ENSG10010138676.1
HCC,0,CD4_T,15,MIR520H
HCC,0,CD4_T,16,RP11-264B17.5
HCC,0,CD4_T,17,LINC02195
HCC,0,CD4_T,18,RP11-134L4.2
HCC,0,CD4_T,19,CYCSP6
HCC,0,CD4_T,20,RP11-567L7.3
HCC,0,CD4_T,21,DKKL1P1
HCC,0,CD4_T,22,OR1X1P
HCC,0,CD4_T,23,UQCR10P1
HCC,0,CD4_T,24,RP11-305L7.5
HCC,0,CD4_T,25,AC007274.2
HCC,0,CD4_T,26,ENSG10010134337.1
HCC,0,CD4_T,27,RPS12P24
HCC,0,CD4_T,28,RNU1-119P
HCC,0,CD4_T,29,RN7SL735P
HCC,0,CD4_T,30,RNU6-119P
HCC,0,CD4_T,31,RBX1P2
HCC,0,CD4_T,32,IGHV1-68
HCC,0,CD4_T,33,OR5D3P
HCC,0,CD4_T,34,S100A11P6
HCC,0,CD4_T,35,DBF4P2
HCC,0,CD4_T,36,ENSG10010137792.1
HCC,0,CD4_T,37,CCR8
HCC,0,CD4_T,38,RP11-56L13.8
HCC,0,CD4_T,39,CTC-422A18.2
HCC,0,CD4_T,40,CTD-2206N4.1
HCC,0,CD4_T,41,RP5-1025A1.2
HCC,0,CD4_T,42,IGHV4-4
HCC,0,CD4_T,43,MRPS31P1
HCC,0,CD4_T,44,ENSG10010138031.1
HCC,0,CD4_T,45,ENSG10010135969.1
HCC,0,CD4_T,46,RPS3AP14
HCC,0,CD4_T,47,DUX4L52
HCC,0,CD4_T,48,IGKV2-14
HCC,0,CD4_T,49,RNU6-268P
HCC,0,CD4_T,50,RN7SL261P
HCC,0,CD4_T,51,MIR548T
HCC,0,CD4_T,52,OR7A11P
HCC,0,CD4_T,53,KB-1589B1.4
HCC,0,CD4_T,54,RNU6-202P
